HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"20,20,20,20,20,20",0.001,3000,0.0783018,1,8.89563,0,8.89563
"20,20,20,20,20,20",0.001,3000,0.0783018,2,8.57273,0,8.57273
"20,20,20,20,20,20",0.001,3000,0.0783018,3,8.30087,0,8.30087
"20,20,20,20,20,20",0.001,3000,0.0783018,4,8.00813,0,8.00813
"20,20,20,20,20,20",0.001,3000,0.0783018,5,7.65031,0,7.65031
"20,20,20,20,20,20",0.001,3000,0.0783018,6,7.16599,0,7.16599
"20,20,20,20,20,20",0.001,3000,0.0783018,7,6.45365,0,6.45365
"20,20,20,20,20,20",0.001,3000,0.0783018,8,5.36308,0,5.36308
"20,20,20,20,20,20",0.001,3000,0.0783018,9,3.77357,0,3.77357
"20,20,20,20,20,20",0.001,3000,0.0783018,10,1.92185,0,1.92185
"20,20,20,20,20,20",0.001,3000,0.0783018,11,0.721043,0,0.721043
"20,20,20,20,20,20",0.001,3000,0.0783018,12,0.563806,0,0.563806
"20,20,20,20,20,20",0.001,3000,0.0783018,13,0.542528,0,0.542528
"20,20,20,20,20,20",0.001,3000,0.0783018,14,0.513786,0,0.513786
"20,20,20,20,20,20",0.001,3000,0.0783018,15,0.494199,0,0.494199
"20,20,20,20,20,20",0.001,3000,0.0783018,16,0.47779,0,0.47779
"20,20,20,20,20,20",0.001,3000,0.0783018,17,0.462854,0,0.462854
"20,20,20,20,20,20",0.001,3000,0.0783018,18,0.448926,0,0.448926
"20,20,20,20,20,20",0.001,3000,0.0783018,19,0.43583,0,0.43583
"20,20,20,20,20,20",0.001,3000,0.0783018,20,0.42346,0,0.42346
"20,20,20,20,20,20",0.001,3000,0.0783018,21,0.411736,0,0.411736
"20,20,20,20,20,20",0.001,3000,0.0783018,22,0.400596,0,0.400596
"20,20,20,20,20,20",0.001,3000,0.0783018,23,0.389986,0,0.389986
"20,20,20,20,20,20",0.001,3000,0.0783018,24,0.37986,0,0.37986
"20,20,20,20,20,20",0.001,3000,0.0783018,25,0.370178,0,0.370178
