HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"30,30,30,30,30,30",0.0001,3000,0.0783018,1,7.6306,2.26361e-06,7.63061
"30,30,30,30,30,30",0.0001,3000,0.0783018,2,7.58613,2.42665e-06,7.58614
"30,30,30,30,30,30",0.0001,3000,0.0783018,3,7.55483,2.57712e-06,7.55483
"30,30,30,30,30,30",0.0001,3000,0.0783018,4,7.52918,2.71953e-06,7.52918
"30,30,30,30,30,30",0.0001,3000,0.0783018,5,7.50683,2.8566e-06,7.50683
"30,30,30,30,30,30",0.0001,3000,0.0783018,6,7.4867,2.99311e-06,7.4867
"30,30,30,30,30,30",0.0001,3000,0.0783018,7,7.46818,3.13373e-06,7.46819
"30,30,30,30,30,30",0.0001,3000,0.0783018,8,7.4509,3.28155e-06,7.4509
"30,30,30,30,30,30",0.0001,3000,0.0783018,9,7.4346,3.43836e-06,7.4346
"30,30,30,30,30,30",0.0001,3000,0.0783018,10,7.41909,3.60519e-06,7.41909
"30,30,30,30,30,30",0.0001,3000,0.0783018,11,7.40424,3.78285e-06,7.40424
"30,30,30,30,30,30",0.0001,3000,0.0783018,12,7.38994,3.97221e-06,7.38995
"30,30,30,30,30,30",0.0001,3000,0.0783018,13,7.37613,4.17434e-06,7.37613
"30,30,30,30,30,30",0.0001,3000,0.0783018,14,7.36272,4.39043e-06,7.36273
"30,30,30,30,30,30",0.0001,3000,0.0783018,15,7.34967,4.62169e-06,7.34968
"30,30,30,30,30,30",0.0001,3000,0.0783018,16,7.33694,4.86944e-06,7.33694
"30,30,30,30,30,30",0.0001,3000,0.0783018,17,7.32448,5.13508e-06,7.32448
"30,30,30,30,30,30",0.0001,3000,0.0783018,18,7.31226,5.42021e-06,7.31226
"30,30,30,30,30,30",0.0001,3000,0.0783018,19,7.30026,5.72658e-06,7.30026
"30,30,30,30,30,30",0.0001,3000,0.0783018,20,7.28844,6.05612e-06,7.28845
"30,30,30,30,30,30",0.0001,3000,0.0783018,21,7.27679,6.41096e-06,7.2768
"30,30,30,30,30,30",0.0001,3000,0.0783018,22,7.26529,6.7934e-06,7.2653
"30,30,30,30,30,30",0.0001,3000,0.0783018,23,7.25392,7.20596e-06,7.25393
"30,30,30,30,30,30",0.0001,3000,0.0783018,24,7.24266,7.65135e-06,7.24267
"30,30,30,30,30,30",0.0001,3000,0.0783018,25,7.2315,8.13251e-06,7.2315
